"Term","Coefficient (SE) [95% CI]","exp(Coef.) (SE) [95% CI]","Z","Coefficient (SE) [95% CI]","exp(Coef.) (SE) [95% CI]","Z","Coefficient (SE) [95% CI]","exp(Coef.) (SE) [95% CI]","Z","Coefficient (SE) [95% CI]","exp(Coef.) (SE) [95% CI]","Z","Coefficient (SE) [95% CI]","exp(Coef.) (SE) [95% CI]","Z"
"Model","Model 1: Null","","","Model 2: Year Fixed Effect (pre/post-2020)","","","Model 3: Year Random Effect","","","Model 4: Year Fixed Effect + Additive Main Effects","","","Model 5: Year Random Effect + Additive Main Effects","",""
"Intercept","-0.91 (0.1) [-1.11, -0.71]","0.4 (0.04) [0.33, 0.49]","-8.93","-0.94 (0.1) [-1.14, -0.75]","0.39 (0.04) [0.32, 0.47]","-9.29","-0.97 (0.1) [-1.17, -0.77]","0.38 (0.04) [0.31, 0.46]","-9.55","-2.02 (0.04) [-2.1, -1.93]","0.13 (0.01) [0.12, 0.14]","-47.64","-2.08 (0.05) [-2.18, -1.97]","0.13 (0.01) [0.11, 0.14]","-39.14"
"Fixed Effect Term","Log-Odds","Odds Ratio","","Log-Odds","Odds Ratio","","Log-Odds","Odds Ratio","","Log-Odds","Odds Ratio","","Log-Odds","Odds Ratio",""
"Year (base: pre-2020)","","","","","","","","","","","","","","",""
"post-2020","","","","0.1 (0.01) [0.08, 0.12]","1.1 (0.01) [1.08, 1.12]","9.64","0.16 (0.04) [0.09, 0.23]","1.18 (0.04) [1.1, 1.26]","4.52","0.1 (0.01) [0.08, 0.12]","1.1 (0.01) [1.08, 1.12]","9.63","0.16 (0.04) [0.09, 0.23]","1.18 (0.04) [1.09, 1.26]","4.41"
"Race (base: White)","","","","","","","","","","","","","","",""
"Black","","","","","","","","","","-0.22 (0.05) [-0.31, -0.13]","0.8 (0.04) [0.73, 0.88]","-4.67","-0.2 (0.05) [-0.29, -0.1]","0.82 (0.04) [0.75, 0.9]","-4.04"
"Hispanic","","","","","","","","","","-0.03 (0.05) [-0.12, 0.06]","0.97 (0.04) [0.89, 1.06]","-0.64","-0.04 (0.04) [-0.13, 0.05]","0.96 (0.04) [0.88, 1.05]","-0.87"
"Asian","","","","","","","","","","-0.26 (0.05) [-0.36, -0.16]","0.77 (0.04) [0.7, 0.85]","-4.96","-0.25 (0.05) [-0.35, -0.15]","0.78 (0.04) [0.7, 0.86]","-4.85"
"Multi-race/Other","","","","","","","","","","0.1 (0.05) [0.01, 0.2]","1.11 (0.05) [1.01, 1.22]","2.13","0.09 (0.05) [0, 0.18]","1.09 (0.05) [1, 1.2]","1.92"
"Gender (base: Boy)","","","","","","","","","","","","","","",""
"Girl","","","","","","","","","","0.45 (0.03) [0.39, 0.51]","1.56 (0.05) [1.47, 1.66]","14.28","0.45 (0.03) [0.38, 0.51]","1.56 (0.05) [1.47, 1.66]","14.13"
"Sexual Orientation (base: Heterosexual","","","","","","","","","","","","","","",""
"Gay/Lesbian","","","","","","","","","","1.25 (0.05) [1.16, 1.34]","3.49 (0.16) [3.19, 3.81]","27.56","1.3 (0.06) [1.19, 1.41]","3.66 (0.2) [3.29, 4.08]","23.51"
"Bisexual","","","","","","","","","","1.52 (0.04) [1.44, 1.6]","4.58 (0.19) [4.22, 4.97]","36.62","1.52 (0.04) [1.44, 1.6]","4.56 (0.19) [4.21, 4.94]","37.12"
"Other/Questioning","","","","","","","","","","0.96 (0.04) [0.88, 1.05]","2.62 (0.11) [2.41, 2.85]","22.7","1.04 (0.07) [0.89, 1.18]","2.82 (0.21) [2.44, 3.27]","13.92"
"Random Effects","SD","Variance","","SD","Variance","","SD","Variance","","SD","Variance","","SD","Variance",""
"Strata","0.643","0.414","","0.64","0.409","","0.638","0.407","","0.083","0.007","","0.143","0.021",""
"Year: Post-2020","","","","","","","0.194","0.038","","","","","0.2","0.04",""
"Corr/Cov","","","","","","","-0.055","-0.007","","","","","-0.841","-0.024",""
"Summary Statistics","","","","","","","","","","","","","","",""
"VPC (%)","11.178","","","11.06","","","11.02","","","0.209","","","0.622","",""
"VPC: Post-2020 (%)","","","","","","","11.595","","","","","","0.374","",""
"Between Stratum Variance","0.414","","","0.409","","","0.407","","","0.007","","","0.021","",""
"Between Stratum Variance, Post-2020","","","","","","","0.431","","","","","","0.012","",""
"PCV (%)","","","","","","","","","","","","","","",""
"PCV: Post-2020 (%)","","","","","","","","","","","","","","",""
"Hausman Test","","","","","","","","","","","","","","",""
