"x","predicted","std.error","conf.low","conf.high","group","facet","panel"
"Pre-2020",0.104182607357509,0.0132336891186284,0.101786624730034,0.106628294369332,"White","Heterosexual","Male"
"Pre-2020",0.42106672836951,0.0399962725404579,0.402084504299758,0.440285205107492,"White","Bisexual","Male"
"Pre-2020",0.310102945745159,0.0509087720927727,0.289170231607289,0.331843555601221,"White","Homosexual","Male"
"Pre-2020",0.229952394343323,0.0495917168834116,0.213194193222659,0.24761332094146,"White","Othersexual","Male"
"Pre-2020",0.15813676879658,0.011617350410935,0.155129006791292,0.161191721449655,"White","Heterosexual","Female"
"Pre-2020",0.502562286833914,0.0213401840666435,0.492106467085664,0.513015866044551,"White","Bisexual","Female"
"Pre-2020",0.43868696808429,0.0466768404914099,0.416300834600165,0.461325478623565,"White","Homosexual","Female"
"Pre-2020",0.323775254597099,0.0365341221139567,0.308299481631635,0.339646415316664,"White","Othersexual","Female"
"Pre-2020",0.10315579331002,0.0394543122683936,0.0962180814776008,0.110532563147774,"Asian","Heterosexual","Male"
"Pre-2020",0.314758813873297,0.109544779729863,0.270385415863552,0.362793408093221,"Asian","Bisexual","Male"
"Pre-2020",0.273596269188206,0.115317876784982,0.231035877931365,0.320726844498891,"Asian","Homosexual","Male"
"Pre-2020",0.185618314698696,0.100548126238279,0.157651440787892,0.217266774279355,"Asian","Othersexual","Male"
"Pre-2020",0.144090814334904,0.0360422286112519,0.135595810408903,0.153023809997027,"Asian","Heterosexual","Female"
"Pre-2020",0.417203244017472,0.0720779729335788,0.383306966015548,0.451900509591304,"Asian","Bisexual","Female"
"Pre-2020",0.385450689853066,0.127270644681819,0.328291666727524,0.445954467098165,"Asian","Homosexual","Female"
"Pre-2020",0.261860728420044,0.0805125686402943,0.232522625549304,0.293484980790957,"Asian","Othersexual","Female"
"Pre-2020",0.0982407763326511,0.0261485823518279,0.0937930908745738,0.102875428679679,"Black","Heterosexual","Male"
"Pre-2020",0.337823486755846,0.078372554113178,0.304361072222558,0.37299225381631,"Black","Bisexual","Male"
"Pre-2020",0.242053973189154,0.0849640508733011,0.212825406808878,0.2738999408204,"Black","Homosexual","Male"
"Pre-2020",0.207155025089196,0.0825911500683354,0.181824345491648,0.235001027432578,"Black","Othersexual","Male"
"Pre-2020",0.155037701243444,0.0226266543920434,0.149316603368497,0.160936533902279,"Black","Heterosexual","Female"
