"Year","predicted","conf.low","conf.high","Race","Sexual_Orientation","Gender","strata","strata2","state","Geographic","outcome"
"2003",11.91,10.17,13.89,"White","Heterosexual","Male","White-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",40.09,32.72,47.94,"White","Bisexual","Male","White-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",33.9,27.21,41.29,"White","Homosexual","Male","White-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",26.08,20.28,32.86,"White","Othersexual","Male","White-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",19.52,17.21,22.06,"White","Heterosexual","Female","White-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",52.85,45.55,60.03,"White","Bisexual","Female","White-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",45.88,38.01,53.97,"White","Homosexual","Female","White-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",37.6,30.48,45.29,"White","Othersexual","Female","White-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",10,7.47,13.27,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",34.35,27.24,42.24,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",29.08,22.66,36.46,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",21.7,16.56,27.89,"Asian","Othersexual","Male","Asian-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",15.95,12.25,20.52,"Asian","Heterosexual","Female","Asian-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",46.89,38.81,55.13,"Asian","Bisexual","Female","Asian-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",40.04,32.32,48.3,"Asian","Homosexual","Female","Asian-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",31.31,24.6,38.9,"Asian","Othersexual","Female","Asian-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",9.07,7.19,11.37,"Black","Heterosexual","Male","Black-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",33.3,26.42,40.97,"Black","Bisexual","Male","Black-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
